PackID,Screen,Section,Pack Name,Still Available,Gem Cost,$USD Cost,Gem Value,Gem Value / $,Gem,Notes
52,Adventure,Privilege Card,Lifetime Card (1 Yr),TRUE,,$29.99,"1,043,850","34,807","76,600",
51,Adventure,Privilege Card,Monthly Card,TRUE,,$4.99,"56,100","11,242","6,600",
60,Adventure,Growth Fund,Battle Pass,TRUE,,$9.99,"76,200","7,628","2,000",
73,Adventure,Newbie Gifts,3-Day Delux Pack,FALSE,,$0.99,"6,368","6,433",120,
107,Adventure,Sale Gift,Wishing Pack 3,FALSE,,$19.99,"138,400","6,923","100,000",
106,Adventure,Sale Gift,Wishing Pack 2,FALSE,,$9.99,"48,600","4,865","35,000",
177,Adventure,Sale Gift,Contract Proof Special Offer 3,TRUE,,$99.99,"653,120","6,532","12,000",
176,Adventure,Sale Gift,Contract Proof Special Offer 2,TRUE,,$49.99,"316,560","6,332","6,000",
175,Adventure,Sale Gift,Contract Proof Special Offer 1,TRUE,,$19.99,"96,800","4,842","2,400",
168,Adventure,Sale Gift,Full of Affection Pack 3,FALSE,,$19.99,"91,680","4,586","2,400",
205,Adventure,Sale Gift,Spring Egg Gift Pack 3,FALSE,,$19.99,"91,680","4,586","2,400",
62,Adventure,Growth Fund,Tower Challenge Fund < 100,TRUE,,$9.99,"40,000","4,004",0,
58,Adventure,Sale Gift,Key Special Offer 2 Old,FALSE,,$9.99,"22,180","2,220","1,200",
57,Adventure,Sale Gift,Key Special Offer 1 Old,FALSE,,$4.99,"9,600","1,924",600,
139,Adventure,Sale Gift,Warm Spring Pack 3 (LNY),FALSE,,$49.99,"85,080","1,702",0,
146,Adventure,Spring Festival - Lantern Celebration,Spring Pass (LNY),FALSE,,$4.99,"15,000","3,006","15,000","<- Note, Assumes you get all the extra rewards after getting 800 lanterns, EXCLUDES value of random dice"
59,Adventure,Sale Gift,Key Special Offer 3 Old,FALSE,,$19.99,"27,160","1,359","2,400",
138,Adventure,Sale Gift,Warm Spring Pack 2 (LNY),FALSE,,$14.99,"34,200","2,282","1,800",
53,Adventure,Privilege Card,Auto-Mine Card,TRUE,,$9.99,"39,700","3,974","1,200",
191,Adventure,Whimsical Circus,Fisherman's Journey,FALSE,,$9.99,"37,500","3,754","4,500",<- ignore brand and assume 30 tickets form 10 boxes
64,Adventure,Travel Event,Hunting Ludwig's Fortune etc.,TRUE,,$9.99,"38,565","3,860",0,
61,Adventure,Growth Fund,Dungeon Fund,TRUE,,$29.99,"110,000","3,668",0,
63,Adventure,Growth Fund,Talent Fund,TRUE,,$19.99,"74,000","3,702","74,000",
178,Adventure,Underwater Adventure - Gift Pack,Jellyfish Pack I,FALSE,,$0.99,"2,120","2,141",120,
